Latitude,Longitude,Class,ClassCode
25.32567938,78.43845908,Wheat,1
25.32505418,78.44059177,Barren Land,8
25.3257809,78.43980085,Wheat,1
25.32258274,78.44198652,Mustard,2
25.32118986,78.44327129,Mustard,2
25.32192934,78.44380338,Wheat,1
25.31880897,78.44879095,Wheat,1
25.31543727,78.45615361,Wheat,1
25.31456621,78.45708836,Wheat,1
25.30793644,78.46264891,Barren Land,8
25.30802889,78.46411608,Mustard,2
25.3072478,78.4684388,Wheat,1
25.30639063,78.48489951,Wheat,1
25.30612966,78.48638579,Wheat,1
25.30873631,78.48936506,Wheat,1
25.30842109,78.49087413,Wheat,1
25.31005598,78.49232756,Mustard,2
25.30897455,78.49392179,Barren Land,8
25.30805707,78.50006238,Mustard,2
25.30853415,78.50092705,Barren Land,8
25.30747543,78.50116946,Wheat,1
25.30772852,78.50552872,Wheat,1
25.3089803,78.5059002,Wheat,1
25.3086566,78.50777306,Wheat,1
25.30805647,78.51053741,Settlements,7
25.31132927,78.52244876,Settlements,7
25.30583323,78.5179792,Open Forest,10
25.29717964,78.51342447,Wheat,1
25.29420292,78.51271737,Wheat,1
25.29184575,78.51403065,Wheat,1
25.28837386,78.51161767,Wheat,1
25.28611874,78.50739788,Wheat,1
25.28391238,78.5083732,Wheat,1
25.28261304,78.50703478,Wheat,1
25.28005827,78.50237243,Wheat,1
25.25780467,78.48379746,Settlements,7
25.25352522,78.48001957,Open Forest,10
25.2494506,78.47610421,Open Forest,10
25.24870886,78.47394135,Open Forest,10
25.24600631,78.47356517,Water,11
25.24667741,78.47595938,Water,11
25.24140255,78.47054332,Settlements,7
25.23929606,78.46867315,Settlements,7
25.23781034,78.46679661,Settlements,7
25.23251842,78.46875094,Open Forest,10
25.23435329,78.47154312,Settlements,7
25.22796571,78.46957169,Wheat,1
25.22645286,78.46663166,Open Forest,10
25.2077693,78.46343011,Open Forest,10
25.20441423,78.46402857,Wheat,1
25.20023027,78.46351728,Open Forest,10
25.19773323,78.46444398,Open Forest,10
25.18816843,78.46440241,Wheat,1
25.1889788,78.4639243,Wheat,1
25.18400546,78.46186001,Wheat,1
25.18243532,78.46174434,Wheat,1
25.18079325,78.46133865,Wheat,1
25.17981989,78.46061915,Wheat,1
25.17859378,78.46210744,Wheat,1
25.17720562,78.46013132,Wheat,1
25.1759461,78.46130814,Wheat,1
25.17470326,78.46197132,Settlements,7
25.17261018,78.46021548,Wheat,1
25.17243874,78.45943898,Wheat,1
25.17057048,78.4610416,Wheat,1
25.16441534,78.45837615,Wheat,1
25.16488236,78.4592814,Wheat,1
25.15851541,78.4581257,Wheat,1
25.15717832,78.45504217,Wheat,1
25.15278758,78.45587667,Wheat,1
25.14820397,78.45424924,Wheat,1
25.14753324,78.45471393,Wheat,1
25.14650013,78.45485676,Wheat,1
25.14491069,78.4561345,Wheat,1
25.14397074,78.45368128,Barren Land,8
25.14199884,78.45487453,Wheat,1
25.13916675,78.45623508,Wheat,1
25.1389215,78.4546395,Barren Land,8
25.13712041,78.45667865,Wheat,1
25.13252983,78.45620256,Wheat,1
25.13347079,78.45646843,Wheat,1
25.13206451,78.45360953,Barren Land,8
25.12835889,78.46020609,Water,11
25.12726977,78.45415737,Water,11
25.12521443,78.46044078,Wheat,1
25.12603402,78.46221641,Wheat,1
25.12397532,78.46166521,Wheat,1
25.1233506,78.4602024,Wheat,1
25.12344986,78.45886566,Wheat,1
25.11929439,78.45981281,Wheat,1
25.11763265,78.45854983,Wheat,1
25.11758104,78.45699549,Barren Land,8
25.11660232,78.45828865,Wheat,1
25.11596178,78.45760234,Barren Land,8
25.11357413,78.45573183,Barren Land,8
25.11473168,78.45661093,Barren Land,8
25.11280789,78.45315121,Wheat,1
25.11142445,78.45266975,Open Forest,10
25.1092298,78.45348012,Barren Land,8
25.10498884,78.45232744,Wheat,1
25.10180582,78.45234588,Barren Land,8
25.10049695,78.45142219,Wheat,1
25.09467895,78.44870243,Barren Land,8
25.09289694,78.45006231,Wheat,1
25.08823972,78.44766509,Wheat,1
25.07877931,78.44625693,Settlements,7
25.07492053,78.44651543,Wheat,1
25.0743153,78.44646949,Wheat,1
25.07152992,78.44528027,Wheat,1
25.06517968,78.44037049,Wheat,1
25.06288823,78.43917858,Wheat,1
25.06223373,78.43961813,Wheat,1
25.06263615,78.4372256,Wheat,1
25.05888955,78.43377627,Wheat,1
25.05763063,78.43192454,Wheat,1
25.05717231,78.43135357,Wheat,1
25.05762456,78.42904285,Wheat,1
25.05731324,78.42846919,Wheat,1
25.05571839,78.42803098,Wheat,1
25.05454843,78.42767291,Wheat,1
25.05425807,78.42651252,Wheat,1
25.05291528,78.42271283,Wheat,1
25.05241138,78.4219759,Wheat,1
25.05178994,78.42097677,Wheat,1
25.05146464,78.42103343,Wheat,1
25.05252559,78.42052314,Wheat,1
25.04190813,78.41716133,Barren Land,8
25.03896466,78.41902714,Wheat,1
25.03665662,78.41939494,Wheat,1
25.04144155,78.41876328,Wheat,1
25.04038385,78.41892421,Wheat,1
25.03279439,78.41869824,Wheat,1
25.03366229,78.42014562,Wheat,1
25.02908212,78.42117492,Wheat,1
25.02781469,78.42149343,Wheat,1
25.02405487,78.42270546,Wheat,1
25.01972377,78.4314575,Wheat,1
25.01756636,78.43300782,Wheat,1
25.01696723,78.43440324,Wheat,1
25.01620494,78.43557738,Wheat,1
25.01318946,78.44089385,Wheat,1
25.00954252,78.44412994,Wheat,1
25.00873187,78.44489235,Wheat,1
25.00670584,78.4440136,Open Forest,10
25.00272174,78.44704214,Wheat,1
24.99947438,78.4490528,Wheat,1
24.99820452,78.44977297,Wheat,1
24.99748678,78.45192008,Open Forest,10
24.9895528,78.4565945,Wheat,1
24.98816553,78.45882777,Wheat,1
24.98780117,78.45632929,Wheat,1
24.98885658,78.46163973,Wheat,1
24.98624461,78.46279174,Wheat,1
24.98432093,78.461859,Wheat,1
24.98129311,78.46589204,Wheat,1
24.97294839,78.47036932,Wheat,1
24.96798966,78.47085211,Wheat,1
24.96594016,78.47011283,Wheat,1
24.96514838,78.46980941,Wheat,1
24.96387391,78.46822858,Wheat,1
24.9613067,78.4681632,Wheat,1
24.96016685,78.46767001,Wheat,1
24.95937533,78.46807234,Wheat,1
24.95963886,78.46724387,Wheat,1
24.957564,78.46759424,Wheat,1
24.95632349,78.46721068,Wheat,1
24.95546629,78.46766364,Wheat,1
24.94663494,78.47155955,Water,11
24.93874571,78.48398924,Water,11
24.94850723,78.49374879,Water,11
24.94723807,78.50716017,Water,11
24.9479871,78.46215606,Water,11
24.95929751,78.49721923,Water,11
24.94041322,78.47085848,Barren Land,8
24.93636738,78.47009774,Wheat,1
24.93289967,78.47651124,Wheat,1
24.92937532,78.4766534,Wheat,1
24.92859728,78.47606298,Wheat,1
24.92693904,78.47536661,Barren Land,8
24.92426464,78.48139185,Settlements,7
24.9193818,78.48177239,Barren Land,8
24.91329857,78.4838967,Wheat,1
24.91162158,78.48397013,Wheat,1
24.90869628,78.48295592,Wheat,1
24.90746441,78.48284192,Wheat,1
24.90637788,78.48180626,Wheat,1
24.90235738,78.48203894,Wheat,1
24.90122672,78.48076455,Wheat,1
24.89954499,78.48152362,Wheat,1
24.89838541,78.4813191,Wheat,1
24.89862444,78.48036524,Wheat,1
24.89749375,78.48120946,Wheat,1
24.89574963,78.47935639,Wheat,1
24.89371595,78.48146193,Wheat,1
24.89336134,78.4832513,Wheat,1
24.89326159,78.47999375,Wheat,1
24.88166956,78.48168723,Wheat,1
24.88101805,78.4796397,Wheat,1
24.87946198,78.47985562,Wheat,1
24.87455424,78.48386988,Wheat,1
24.87312341,78.48283723,Water,11
24.87198335,78.48375924,Wheat,1
24.86964693,78.4824986,Wheat,1
24.86872524,78.48338172,Wheat,1
24.86465272,78.4835108,Settlements,7
24.86562675,78.48692123,Wheat,1
24.86337022,78.48506782,Wheat,1
24.86310313,78.48724376,Wheat,1
24.84586802,78.47253386,Wheat,1
24.84541044,78.47044475,Wheat,1
24.84385787,78.47109418,Wheat,1
24.83930136,78.4675312,Barren Land,8
24.83334808,78.46376035,Wheat,1
24.83315243,78.46495159,Wheat,1
24.82997911,78.46247189,Wheat,1
24.82874341,78.46328728,Wheat,1
24.82786037,78.46370369,Wheat,1
24.82671229,78.46140839,Wheat,1
24.82595947,78.46111905,Wheat,1
24.82257113,78.45985472,Wheat,1
24.8202426,78.46047834,Barren Land,8
24.81882574,78.46005823,Barren Land,8
24.81583586,78.46090447,Wheat,1
24.81491377,78.46058562,Wheat,1
24.81356259,78.45911812,Wheat,1
24.81235077,78.45922206,Wheat,1
24.81161186,78.46023995,Wheat,1
24.80961941,78.4580278,Wheat,1
24.80209335,78.45552932,Wheat,1
24.7992242,78.45615964,Wheat,1
24.79867879,78.45521282,Wheat,1
24.79605701,78.45636081,Wheat,1
24.79560989,78.45737368,Wheat,1
24.79656499,78.45756009,Wheat,1
24.79450078,78.45540293,Wheat,1
24.79393069,78.45277436,Wheat,1
24.79384455,78.45169678,Wheat,1
24.79192791,78.45231369,Wheat,1
24.79258993,78.45045794,Wheat,1
24.79047481,78.45163643,Wheat,1
24.78953702,78.45134072,Wheat,1
24.78897208,78.45404305,Wheat,1
24.7888622,78.44959192,Wheat,1
24.78835997,78.45124215,Wheat,1
24.78786138,78.44863404,Wheat,1
24.78883998,78.44717458,Wheat,1
24.7864405,78.44717726,Wheat,1
24.78656104,78.4442912,Mustard,2
24.78211901,78.4415473,Wheat,1
24.78160762,78.44199222,Wheat,1
24.77914133,78.43910046,Wheat,1
24.77808017,78.4399249,Wheat,1
24.77384453,78.43985014,Wheat,1
24.77279489,78.43963925,Mustard,2
24.76757423,78.43691781,Barren Land,8
24.75425415,78.43451589,Wheat,1
24.75173617,78.43595523,Wheat,1
24.75124384,78.43318954,Wheat,1
24.74937282,78.43193091,Wheat,1
24.74604542,78.43178406,Wheat,1
24.73925088,78.43477271,Settlements,7
24.73486014,78.43145248,Barren Land,8
24.73321757,78.43102533,Mustard,2
24.73228239,78.43238253,Wheat,1
24.71985635,78.42961818,Wheat,1
24.71697769,78.43221322,Wheat,1
24.71655465,78.4303635,Wheat,1
24.71308535,78.43225814,Wheat,1
24.71131275,78.43096264,Wheat,1
24.7103442,78.4326702,Wheat,1
24.70893218,78.43246702,Wheat,1
24.70775041,78.43265377,Mustard,2
24.7073709,78.43254816,Wheat,1
24.70657654,78.43294479,Wheat,1
24.70545932,78.43300916,Wheat,1
24.69487688,78.43281537,Wheat,1
24.69384302,78.43216695,Wheat,1
24.69410743,78.42543393,Settlements,7
24.69139053,78.42396073,Settlements,7
24.68645373,78.43052376,Settlements,7
24.6851572,78.43407802,Settlements,7
24.66706408,78.43175188,Water,11
24.67128232,78.44105378,Wheat,1
24.66955483,78.44083384,Wheat,1
24.66706956,78.42376158,Water,11
24.65669655,78.41074515,Water,11
24.66863348,78.44440218,Wheat,1
24.66571007,78.44449304,Wheat,1
24.66465981,78.44393179,Wheat,1
24.66488315,78.44528697,Wheat,1
24.66473964,78.44804998,Wheat,1
24.66320645,78.44657142,Wheat,1
24.6620084,78.44808083,Wheat,1
24.65992336,78.44914835,Wheat,1
24.6591805,78.45297184,Wheat,1
24.65689979,78.45464654,Field Pea,3
24.64794354,78.46187174,Field Pea,3
24.64563673,78.4623874,Wheat,1
24.64098183,78.46782088,Field Pea,3
24.64046528,78.46822824,Wheat,1
24.63914054,78.46811358,Wheat,1
24.63909148,78.46916299,Wheat,1
24.63872395,78.46961025,Wheat,1
24.63817174,78.47021174,Wheat,1
24.63773716,78.47099293,Wheat,1
24.6363551,78.47020905,Wheat,1
24.63578216,78.47084843,Gram,4
24.63548928,78.47114615,Wheat,1
24.6347091,78.47163834,Wheat,1
24.63531374,78.47251307,Wheat,1
24.63255808,78.47353667,Wheat,1
24.6308334,78.47492404,Field Pea,3
24.63070753,78.47561371,Field Pea,3
24.63041464,78.47651694,Field Pea,3
24.63030218,78.47778529,Gram,4
24.62867165,78.47906202,Wheat,1
24.62801607,78.4798982,Field Pea,3
24.62833822,78.48084837,Field Pea,3
24.62777804,78.48190483,Gram,4
24.62721908,78.48240271,Field Pea,3
24.6269015,78.48260891,Gram,4
24.62644433,78.48311149,Field Pea,3
24.62588262,78.48380618,Gram,4
24.62457936,78.48450556,Gram,4
24.62303043,78.48413173,Wheat,1
24.62268602,78.48710865,Field Pea,3
24.62218708,78.48845981,Wheat,1
24.61826497,78.49749617,Wheat,1
24.61489931,78.50287065,Field Pea,3
24.61328869,78.50545797,Wheat,1
24.61176005,78.50751556,Wheat,1
24.61089315,78.50678835,Field Pea,3
24.61137232,78.50861393,Wheat,1
24.60986316,78.50989636,Field Pea,3
24.60898161,78.51134609,Field Pea,3
24.60853474,78.513689,Field Pea,3
24.60801715,78.51268686,Field Pea,3
24.60684539,78.51477362,Field Pea,3
24.60585134,78.51453491,Gram,4
24.60605284,78.51570502,Field Pea,3
24.6071359,78.51376008,Field Pea,3
24.60531332,78.51694118,Wheat,1
24.60583214,78.51645537,Field Pea,3
24.60499538,78.51764224,Field Pea,3
24.60452746,78.5181921,Gram,4
24.60411105,78.51961568,Wheat,1
24.60294475,78.52144059,Wheat,1
24.60299017,78.52280617,Field Pea,3
24.60149828,78.5229034,Field Pea,3
24.6003728,78.52485839,Field Pea,3
24.60070112,78.52415331,Gram,4
24.59975122,78.52607176,Field Pea,3
24.59925859,78.52730423,Wheat,1
24.59846385,78.52883141,Gram,4
24.59797183,78.52994654,Wheat,1
24.59640367,78.53258986,Field Pea,3
24.59595462,78.5336034,Wheat,1
24.59576439,78.53408922,Field Pea,3
24.59560159,78.53449088,Gram,4
24.59520498,78.53538003,Field Pea,3
24.59474982,78.53630673,Field Pea,3
24.59404987,78.5371466,Wheat,1
24.59361636,78.53777222,Field Pea,3
24.5932926,78.53919078,Wheat,1
24.59075521,78.54201213,Field Pea,3
24.58602296,78.56532253,Field Pea,3
24.58609735,78.56570609,Gram,4
24.58621625,78.56788103,Gram,4
24.58624522,78.56846441,Wheat,1
24.58631869,78.56894888,Wheat,1
24.58641199,78.56965564,Field Pea,3
24.58628821,78.57128609,Wheat,1
24.58607327,78.57309055,Wheat,1
24.58610558,78.57394818,Field Pea,3
24.58607632,78.57486047,Gram,4
24.58607632,78.57562557,Field Pea,3
24.58553515,78.58099334,Field Pea,3
24.58549308,78.58406212,Open Forest,10
24.58638211,78.59110594,Wheat,1
24.58597083,78.59350685,Field Pea,3
24.58582205,78.59402753,Wheat,1
24.58581077,78.59517418,Field Pea,3
24.58554918,78.59646533,Wheat,1
24.58526594,78.5975429,Wheat,1
24.58510741,78.59811187,Wheat,1
24.58440709,78.60038839,Wheat,1
24.582018,78.60265788,Wheat,1
24.58219667,78.6052214,Wheat,1
24.58146707,78.60571325,Field Pea,3
24.58130243,78.60689241,Wheat,1
24.58084052,78.60758342,Gram,4
24.58063167,78.60803302,Field Pea,3
24.58083899,78.60989615,Wheat,1
24.58123047,78.61244861,Wheat,1
24.57930111,78.62451486,Wheat,1
24.57988437,78.63209814,Wheat,1
24.57848002,78.63494497,Field Pea,3
24.57931483,78.63542374,Wheat,1
24.57950326,78.63635983,Wheat,1
24.57823336,78.63671053,Wheat,1
24.57932794,78.63845497,Wheat,1
24.57783974,78.63935016,Field Pea,3
24.57684363,78.63916039,Field Pea,3
24.579145,78.64113651,Wheat,1
24.57877913,78.6437292,Wheat,1
24.57759673,78.64396356,Wheat,1
24.57870504,78.64606809,Wheat,1
24.57859558,78.64719696,Field Pea,3
24.57690278,78.66112165,Wheat,1
24.57636737,78.66208892,Wheat,1
24.57510049,78.66475973,Wheat,1
24.57480809,78.66570789,Field Pea,3
24.57331099,78.66820201,Wheat,1
24.57412388,78.66806824,Gram,4
24.57386226,78.66953641,Wheat,1
24.57393392,78.67083192,Gram,4
24.57231118,78.67481299,Mustard,2
24.57227002,78.68009124,Gram,4
24.57254475,78.67894191,Gram,4
24.57264842,78.67368948,Wheat,1
24.57278746,78.67246974,Gram,4
24.57300181,78.67072295,Wheat,1
24.57324421,78.66886452,Wheat,1
24.57354851,78.66618633,Wheat,1
24.57406381,78.66479829,Wheat,1
24.57777418,78.64623137,Wheat,1
24.57809646,78.63823302,Wheat,1
24.57828885,78.6332535,Wheat,1
24.57770406,78.63228053,Field Pea,3
24.57796444,78.63168776,Wheat,1
24.57768485,78.62805571,Wheat,1
24.57707047,78.62570979,Settlements,7
24.58036793,78.61314833,Gram,4
24.57943252,78.61188937,Wheat,1
24.57936575,78.61081984,Wheat,1
24.57920476,78.6100021,Wheat,1
24.580017,78.60731587,Field Pea,3
24.57973254,78.60616252,Field Pea,3
24.58020024,78.60581283,Field Pea,3
24.58283754,78.60118434,Gram,4
24.58347293,78.60042326,Gram,4
24.58409855,78.59887227,Gram,4
24.58425648,78.59829661,Wheat,1
24.58468057,78.5966732,Gram,4
24.58530375,78.57387107,Gram,4
24.58559217,78.57146647,Gram,4
24.58560192,78.57095551,Field Pea,3
24.58547296,78.56381647,Gram,4
24.58941836,78.54201481,Field Pea,3
24.59269324,78.53766058,Gram,4
24.59605339,78.53048265,Gram,4
24.59938693,78.52416873,Wheat,1
24.60472621,78.51622771,Field Pea,3
24.60433206,78.51653215,Field Pea,3
24.60526973,78.51547737,Gram,4
24.606707,78.51301912,Gram,4
24.61321157,78.50376349,Gram,4
24.61405133,78.50245826,Gram,4
24.61448965,78.50194059,Gram,4
24.62682683,78.48141667,Gram,4
24.62866372,78.47856447,Gram,4
24.62980815,78.47493913,Gram,4
24.65397884,78.45412619,Wheat,1
24.65627728,78.45335003,Wheat,1
24.66897229,78.43709484,Water,11
24.80598624,78.45681209,Gram,4
24.81130997,78.45860917,Field Pea,3
24.77127216,78.4390894,Field Pea,3
24.75535389,78.43692586,Gram,4
24.66597819,78.4463964,Field Pea,3
24.65761707,78.45485374,Field Pea,3
25.23833409,78.48459005,Open Forest,10
25.24001936,78.48860733,Wheat,1
25.24240544,78.48794147,Open Forest,10
25.24433204,78.48933991,Open Forest,10
25.24908064,78.49041782,Open Forest,10
25.25844538,78.4990941,Wheat,1
25.27729518,78.51176083,Wheat,1
25.27658999,78.51252023,Wheat,1
25.27973813,78.5122044,Wheat,1
25.28238112,78.5144075,Wheat,1
25.28272824,78.51716682,Wheat,1
25.28643371,78.51640407,Wheat,1
25.28780758,78.51793125,Wheat,1
25.2985149,78.52558091,Wheat,1
25.31444044,78.53378613,Open Forest,10
25.3237183,78.54264949,Wheat,1
25.328255,78.54338273,Wheat,1
25.32995477,78.5441998,Wheat,1
25.33209908,78.54308702,Wheat,1
25.33358668,78.54436375,Wheat,1
25.33458366,78.54247984,Wheat,1
25.3407223,78.54216903,Wheat,1
25.38102814,78.51855487,Wheat,1
25.38337449,78.51852704,Wheat,1
25.3835735,78.51506297,Wheat,1
25.38582863,78.50997984,Wheat,1
25.38478967,78.50834906,Wheat,1
25.38727619,78.50651208,Wheat,1
25.39075766,78.50240797,Wheat,1
25.39154517,78.50149401,Wheat,1
25.39341186,78.50060821,Wheat,1
25.39605903,78.49856067,Wheat,1
25.39831392,78.49323515,Wheat,1
25.399198,78.4913566,Wheat,1
25.40148797,78.48805614,Wheat,1
25.4076641,78.48587785,Wheat,1
25.41144933,78.48464571,Wheat,1
25.42276949,78.48050706,Barren Land,8
25.42847186,78.48005209,Wheat,1
25.44009137,78.48279633,Open Forest,10
25.43902805,78.48091342,Open Forest,10
25.44294763,78.48156318,Open Forest,10
25.45045067,78.48215595,Open Forest,10
25.45518634,78.48149277,Wheat,1
25.456581,78.48137442,Wheat,1
25.4569034,78.49773757,Wheat,1
25.48517297,78.5463107,Wheat,1
25.5184311,78.54934428,Mustard,2
25.51735607,78.54993269,Gram,4
25.51760932,78.55247241,Field Pea,3
25.5169954,78.54904789,Gram,4
25.49951845,78.55542753,Wheat,1
25.49850014,78.5574194,Wheat,1
25.49944492,78.55948705,Wheat,1
25.4979406,78.55995275,Wheat,1
25.49852859,78.56318079,Wheat,1
25.49972605,78.5651046,Wheat,1
25.50056974,78.5703681,Wheat,1
25.49980019,78.57642017,Settlements,7
25.49918073,78.57847642,Wheat,1
25.49794938,78.57744779,Wheat,1
25.49762466,78.58239111,Wheat,1
25.49617086,78.5803372,Wheat,1
25.49594299,78.58352266,Wheat,1
25.49689716,78.584962,Wheat,1
25.4941599,78.58449228,Field Pea,3
25.49238194,78.58687744,Barren Land,8
25.49038998,78.59054469,Wheat,1
25.48827391,78.59063856,Wheat,1
25.48725581,78.59146938,Wheat,1
25.48613147,78.59249264,Wheat,1
25.48777031,78.59351289,Mustard,2
25.47950809,78.59765455,Wheat,1
25.47755163,78.59948482,Wheat,1
25.47433055,78.60667516,Wheat,1
25.46948576,78.61116651,Settlements,7
25.46602443,78.62307284,Open Forest,10
25.4669413,78.63401156,Wheat,1
25.47019043,78.63770396,Settlements,7
25.46646879,78.64257552,Barren Land,8
25.46589457,78.65548398,Wheat,1
25.47256471,78.66632916,Wheat,1
25.46518201,78.67735136,Barren Land,8
25.47262645,78.685573,Wheat,1
25.47402061,78.68549455,Wheat,1
25.47178862,78.68722156,Wheat,1
25.47031423,78.68792295,Wheat,1
25.47159642,78.69086567,Wheat,1
25.47275661,78.6909562,Wheat,1
25.47336591,78.69452991,Wheat,1
25.47584213,78.71119548,Settlements,7
25.48249598,78.7126489,Wheat,1
25.4853361,78.71750034,Gram,4
25.48704607,78.71721033,Gram,4
25.49143348,78.72258782,Wheat,1
25.49411421,78.72400068,Wheat,1
25.49623199,78.72547153,Wheat,1
25.49477333,78.72719284,Wheat,1
25.49761801,78.72836564,Wheat,1
25.50152781,78.73079471,Settlements,7
25.49997328,78.72998737,Wheat,1
25.50229523,78.73436138,Wheat,1
25.51861143,78.75638064,Field Pea,3
25.51970551,78.75746056,Field Pea,3
25.52523992,78.76377851,Wheat,1
25.5267091,78.76479071,Wheat,1
25.52176506,78.7653181,Mustard,2
25.52423605,78.76316093,Field Pea,3
25.5229998,78.76673263,Wheat,1
25.53026005,78.77040893,Wheat,1
25.53007006,78.77389513,Field Pea,3
25.53132952,78.77534587,Field Pea,3
25.5329856,78.77515007,Field Pea,3
25.53424685,78.77645195,Field Pea,3
25.53455966,78.77669737,Field Pea,3
25.53646799,78.78002264,Wheat,1
25.53736497,78.78083937,Wheat,1
25.5390854,78.78334757,Field Pea,3
25.54034325,78.78464743,Wheat,1
25.54084906,78.78342871,Field Pea,3
25.53911202,78.78529955,Wheat,1
25.54167884,78.785551,Mustard,2
25.54406593,78.7884099,Wheat,1
25.54258304,78.7874376,Field Pea,3
25.54359947,78.78964808,Gram,4
25.5433021,78.79035383,Field Pea,3
25.54602281,78.78853429,Field Pea,3
25.54757039,78.79083194,Field Pea,3
25.5473172,78.79015636,Field Pea,3
25.54786804,78.79377332,Mustard,2
25.54895157,78.7925281,Field Pea,3
25.54956987,78.79391681,Wheat,1
25.54884358,78.79464302,Wheat,1
25.55113645,78.79564282,Mustard,2
25.55117668,78.7980853,Wheat,1
25.55337453,78.79769705,Settlements,7
25.55596827,78.79963059,Water,11
25.55581704,78.80156681,Wheat,1
25.55867085,78.80085904,Wheat,1
25.55736086,78.80253442,Field Pea,3
25.55924705,78.8092795,Wheat,1
25.56087279,78.81023236,Wheat,1
25.561328,78.82082239,Wheat,1
25.56513591,78.82549748,Wheat,1
25.56542022,78.82939842,Wheat,1
25.57074262,78.83469611,Wheat,1
25.58106011,78.83512292,Mustard,2
25.5818993,78.83515075,Field Pea,3
25.58276932,78.83613948,Wheat,1
25.5842883,78.8348205,Wheat,1
25.58601289,78.83478932,Field Pea,3
25.5908557,78.83429278,Field Pea,3
25.59472074,78.834619,Field Pea,3
25.59667014,78.83767705,Field Pea,3
25.59828812,78.8371795,Wheat,1
25.59902257,78.83740481,Wheat,1
25.59841088,78.83955393,Field Pea,3
25.60567684,78.85072667,Settlements,7
25.60491764,78.85054294,Settlements,7
25.60940172,78.8557595,Wheat,1
25.61149358,78.85626175,Field Pea,3
